source,n_units,wvtr_g_m2_day,conditions,seal_type,fixture_floor,provenance
"Wu high-quality (MOCON, sealed)",1,1.700e-04,38 C / 100 %RH,,,text/legend of source
"Wu high-quality (MOCON, sealed)",2,3.600e-05,38 C / 100 %RH,,,text/legend of source
"Wu high-quality (MOCON, sealed)",3,7.700e-06,38 C / 100 %RH,,,text/legend of source
"Wu poor-quality (MOCON, sealed)",1,1.600e+00,38 C / 100 %RH,,,text/legend of source
"Wu poor-quality (MOCON, sealed)",2,1.600e-01,38 C / 100 %RH,,,text/legend of source
"Wu poor-quality (MOCON, sealed)",3,1.300e-01,38 C / 100 %RH,,,text/legend of source
"Lee (Ca, 3 mm pad, no lid)",1,3.000e-03,38 C / 90 %RH,,,text/legend of source
"Lee (Ca, 3 mm pad, no lid)",2,6.600e-04,38 C / 90 %RH,,,text/legend of source
"Lee (Ca, 3 mm pad, no lid)",3,5.400e-04,38 C / 90 %RH,,,text/legend of source
"Lee (Ca, 3 mm pad, no lid)",4,5.300e-04,38 C / 90 %RH,,,text/legend of source
"Buelow (Ca, glass lid + epoxy)",1.5,3.600e-03,60 C / 90 %RH,,6.0e-04,text/legend of source
"Buelow (Ca, glass lid + epoxy)",3.5,1.200e-03,60 C / 90 %RH,,6.0e-04,text/legend of source
"Groner (tritium cell, o-ring)",1,1.000e-03,"100 %RH, ambient",,,text/legend of source
"Groner (tritium cell, o-ring)",2,7.000e-04,"100 %RH, ambient",,,text/legend of source
