meas_id,stack,n_dyads,d_inorg_nm,d_org_nm,property,censor,value,unit,T_C,RH_pct,method,detection_limit,role,quality,source_id,fig_or_page,notes
BM001,PET_SUB/AL2O3_ALD(15nm),0,15,,wvtr,=,6.7e-3,g/(m2*day),38,100,MOCON_AquatranII,5e-5,calibration,A,WU2018,Table1,high-quality ALD 60C on PET; bare-PET series contribution negligible at this level (note in analysis)
BM002,PET_SUB/AL2O3_ALD(20nm),0,20,,wvtr,=,7.0e-4,g/(m2*day),38,100,MOCON_AquatranII,5e-5,calibration,A,WU2018,Table1,
BM003,PET_SUB/AL2O3_ALD(30nm),0,30,,wvtr,=,8.0e-4,g/(m2*day),38,100,MOCON_AquatranII,5e-5,calibration,A,WU2018,Table1,
BM004,PET_SUB/AL2O3_ALD(50nm),0,50,,wvtr,=,1.3e-3,g/(m2*day),38,100,MOCON_AquatranII,5e-5,calibration,A,WU2018,Table1,rise vs 30nm attributed to stress-induced cracking under handling of flexible substrate
BM005,PET_SUB/AL2O3_ALD(60nm),0,60,,wvtr,=,4.7e-3,g/(m2*day),38,100,MOCON_AquatranII,5e-5,calibration,A,WU2018,Table1,strong cracking regime; anchors f_crack0 and d_crit under handling strain
BM006,PET_SUB/[AL2O3_ALD(30nm)/PARYLENE_C_CVD(500nm)]x3,3,30,500,wvtr,<,1.0e-5,g/(m2*day),38,100,MOCON_AquatranII,5e-5,validation,A,WU2018V,Fig.4,below instrument limit; NOTE paper claims <1e-5 while stated limit is 5e-5 (internal inconsistency) - treat conservatively as <5e-5
BM007,PET_SUB/[AL2O3_ALD(?)/PARYLENE_C_CVD(?)]xN,,,,wvtr,~,,g/(m2*day),38,100,MOCON_AquatranII,5e-5,validation,A,WU2018V,Fig.3,dyad-number curve (high vs poor quality Al2O3; 2-4 orders of magnitude apart) - superseded by BM015-BM021 (digitized 2026-07-06; overlay in provenance/)
BM008,SUB?/[AL2O3_ALD(?)/PV3D3_ICVD(?)]x3,3,,,wvtr,~,1.0e-4,g/(m2*day),38,90,Ca_test?,,validation_external_optional,B,LEE2018,Fig.2d,OPTIONAL independent-source check; obtain via author request
BM009,PET_SUB/multilayer(Barix-type),,,,wvtr,<,1.0e-5,g/(m2*day),25,40,,,context,B,GRAFF2004,abstract,order-of-magnitude anchor
BM010,PDMS20pct/[AL2O3_ALD(15nm)/PARYLENE_C_CVD(250nm)]x4,4,15,250,wvtr,=,5.4,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context_mechanics,A,WU2018,Table2,initial WVTR on 20pct pre-strain PDMS; after 10x stretch cycles final 8.2 (+51.9pct)
BM011,PDMS20pct/[AL2O3_ALD(30nm)/PARYLENE_C_CVD(500nm)]x2,2,30,500,wvtr,=,1.1,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context_mechanics,A,WU2018,Table2,after cycles 3.8 (+254pct); thinner inorganic = better strain tolerance
BM012,PDMS20pct/[AL2O3_ALD(50nm)/PARYLENE_C_CVD(500nm)]x2,2,50,500,wvtr,=,1.5,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context_mechanics,A,WU2018,Table2,after cycles 9.3 (+534pct); anchors thickness-dependent cracking for durability objective
BM013,SUB?/AL2O3_ALD(50nm),0,50,,wvtr,=,1.84e-2,g/(m2*day),45,100,MOCON?,,validation,B,CHOI2018,abstract,cross-temperature(45C) + cross-process(95C thermal ALD) check; confirm method from full text
BM014,SUB?/AL2O3_ALD(50nm),0,50,,wvtr,=,9.0e-4,g/(m2*day),,,,,context,C,,,secondary citation via IntechOpen ch.83806; LOCATE PRIMARY before any use
BM015,PET_SUB(bare),0,,,wvtr,=,3.0,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context,A,WU2018,Fig.3,digitized +-0.15 decade; bare-substrate anchor (dyad 0 shared point)
BM016,PET_SUB/[AL2O3_ALD(30nm)/PARYLENE_C_CVD(500nm)]x1,1,30,500,wvtr,=,1.7e-4,g/(m2*day),38,100,MOCON_AquatranII,5e-5,calibration_scale,A,WU2018V,Fig.3,SCALE ANCHOR (absolute f); digitized +-0.15 decade; NOTE 4.7x lower than Table1 30nm Al2O3 alone (8e-4) -> parylene capping/plugging effect or batch variation; modeling decision required | STRUCTURE CORRECTED 2026-07-10: Al2O3 50nm (not 30) per full text 'primal thickness'
BM017,PET_SUB/[AL2O3_ALD(30nm)/PARYLENE_C_CVD(500nm)]x2,2,30,500,wvtr,~,3.6e-5,g/(m2*day),38,100,MOCON_AquatranII,5e-5,validation,A,WU2018V,Fig.3,digitized; CAUTION below stated instrument limit 5e-5 -> semi-quantitative | STRUCTURE CORRECTED 2026-07-10: Al2O3 50nm (not 30) per full text 'primal thickness'
BM018,PET_SUB/[AL2O3_ALD(30nm)/PARYLENE_C_CVD(500nm)]x3,3,30,500,wvtr,~,7.7e-6,g/(m2*day),38,100,MOCON_AquatranII,5e-5,validation,A,WU2018V,Fig.3,digitized; below stated limit; consistent with paper claim <1e-5; treat as semi-quantitative | STRUCTURE CORRECTED 2026-07-10: Al2O3 50nm (not 30) per full text 'primal thickness'
BM019,PET_SUB/[AL2O3_ALD_POOR(30nm)/PARYLENE_C_CVD(500nm)]x1,1,30,500,wvtr,=,1.6,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context,A,WU2018,Fig.3,poor ALD (base pressure 9e-1 torr); brackets high-f regime for defect model
BM020,PET_SUB/[AL2O3_ALD_POOR(30nm)/PARYLENE_C_CVD(500nm)]x2,2,30,500,wvtr,=,1.6e-1,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context,A,WU2018,Fig.3,digitized +-0.15 decade
BM021,PET_SUB/[AL2O3_ALD_POOR(30nm)/PARYLENE_C_CVD(500nm)]x3,3,30,500,wvtr,=,1.3e-1,g/(m2*day),38,100,MOCON_AquatranII,5e-5,context,A,WU2018,Fig.3,saturating benefit of dyads at high pinhole density (decoupling collapse) - model sensitivity check
BM022,WU2018V,dyad_3x_30nm,PET/(Al2O3 50->30nm?/parC 500nm)x3 - Fig.4 separate 30nm result,38C/100RH,1.0e-5,<,g/m2/day,validation_consistency,A,WU2018V,Fig.4 + abstract,"detection-limited reading; corrected-model steady 3.5e-5, multi-day apparent <1e-5 - consistent as lag-phase"
BM023,LEE2018,dyad_1,Ca/pV3D3 800nm/Al2O3 21.5nm,38C/90RH,3.0e-3,=,g/m2/day,external_modeB_anchor,A,LEE2018,Fig.5a legend + Fig.2d,primary full text 2026-07-10; post-lag steady slope,,,,,
BM024,LEE2018,dyad_2,+[100nm pV3D3/21.5nm Al2O3],38C/90RH,6.6e-4,=,g/m2/day,external_modeB_test,A,LEE2018,Fig.5a legend,pred 4.6e-4 (-0.16 dec),,,,,
BM025,LEE2018,dyad_3,+[100/21.5]x2,38C/90RH,5.4e-4,=,g/m2/day,external_modeB_test,A,LEE2018,Fig.5a legend,pred 2.5e-4 (-0.34 dec),,,,,
BM026,LEE2018,dyad_4,+[100/21.5]x3,38C/90RH,5.3e-4,=,g/m2/day,external_modeB_test,A,LEE2018,Fig.5a legend + text,pred 1.7e-4 (-0.49 dec); lag >400h,,,,,
